#{"t_start": 1748716358.5233672, "env_id": "None"}
r,l,t
-100.0,1,9.59974
-100.0,1,9.599823
-100.0,1,18.648216
-110.0,2,23.041064
-100.0,1,23.041138
-100.0,1,27.79689
-100.0,1,27.796952
-100.0,1,32.483392
-100.0,1,32.483499
-100.0,1,37.689831
-100.0,1,37.689896
-110.0,2,55.726297
-110.0,2,55.726401
-100.0,1,60.561014
-100.0,1,60.561075
-100.0,1,65.103506
-100.0,1,65.104228
-100.0,1,73.929317
-110.0,2,82.356627
-110.0,2,90.912215
-100.0,1,95.587268
-110.0,2,95.587331
-100.0,1,103.725417
-100.0,1,108.306044
-110.0,2,108.306099
-100.0,1,113.079129
-100.0,1,113.079188
-100.0,1,119.749092
-110.0,2,123.444622
-100.0,1,123.444677
-105.0,1,129.206745
-100.0,1,129.206805
-100.0,1,135.915182
-110.0,2,142.214894
-100.0,1,142.214967
-100.0,1,148.65199
-100.0,1,148.652132
-100.0,1,155.041024
-102.5,1,155.041077
-100.0,1,163.463457
-110.0,2,170.864967
-110.0,2,180.160345
-110.0,2,187.526961
-110.0,2,195.908928
-110.0,2,206.356537
-100.0,1,212.496683
-110.0,2,212.496759
-100.0,1,220.326477
-110.0,2,226.531434
-110.0,2,234.689458
-105.0,1,234.689564
-100.0,1,244.39106
-100.0,1,248.317816
-110.0,2,248.317873
-102.5,1,258.746855
-100.0,1,262.727126
-110.0,2,262.727186
-100.0,1,270.339568
-110.0,2,274.354861
-100.0,1,274.354914
-100.0,1,281.204051
-100.0,1,285.191676
-110.0,2,285.191737
-100.0,1,293.018243
-100.0,1,296.95086
-110.0,2,296.950922
-100.0,1,303.977643
-110.0,2,308.065514
-100.0,1,308.065574
-100.0,1,314.311774
-110.0,2,320.534682
-100.0,1,324.223777
-110.0,2,324.223837
-100.0,1,330.766844
-100.0,1,334.751458
-110.0,2,334.751518
-100.0,1,338.935261
-100.0,1,338.935318
-100.0,1,343.01122
-100.0,1,343.011279
-100.0,1,349.99202
-110.0,2,354.060452
-100.0,1,354.060511
-100.0,1,361.255141
-100.0,1,365.117131
-110.0,2,365.117193
-100.0,1,372.416842
-110.0,2,379.022565
-100.0,1,383.018794
-110.0,2,383.018852
-100.0,1,387.021588
-100.0,1,387.021645
-100.0,1,391.364761
-100.0,1,391.364848
-110.0,2,406.343466
-110.0,2,406.343524
-100.0,1,410.351135
-100.0,1,410.351203
-110.0,2,423.73122
-110.0,2,423.731279
-105.0,1,432.534216
-110.0,2,439.377095
-110.0,2,445.410328
-105.0,1,445.410392
-110.0,2,458.855578
-110.0,2,458.855636
-102.5,1,467.026556
-100.0,1,471.014259
-110.0,2,471.014321
-110.0,2,484.114266
-110.0,2,484.114328
-100.0,1,490.82462
-110.0,2,498.106359
-100.0,1,504.515823
-110.0,2,504.515909
-100.0,1,510.524293
-100.0,1,510.524433
-100.0,1,517.884228
-102.5,1,517.884284
-100.0,1,524.714322
-110.0,2,530.703707
-110.0,2,534.430923
-100.0,1,534.431015
-100.0,1,541.087749
-110.0,2,546.45175
-102.5,1,546.451859
-110.0,2,559.767772
-110.0,2,559.767846
-100.0,1,567.47341
-110.0,2,574.654925
