#{"t_start": 1748654011.4573238, "env_id": "None"}
r,l,t
-32.0,1,7.139343
-32.0,1,7.13944
-50.0,1,8.420514
-50.0,1,8.420596
-50.0,1,11.605552
-50.0,2,13.473851
-32.0,1,13.473935
-32.0,1,15.433434
-50.0,1,15.433516
-50.0,1,18.051198
-50.0,1,19.368636
-47.0,2,19.368728
-50.0,1,21.460576
-44.0,2,23.214428
-32.0,1,23.214508
-50.0,1,25.477627
-41.0,2,26.615952
-50.0,1,26.616054
-50.0,1,28.472847
-32.0,1,30.346903
-41.0,2,30.346985
-50.0,1,32.637684
-50.0,1,33.736774
-41.0,2,33.736855
-50.0,1,35.812795
-50.0,1,36.989613
-41.0,2,36.989706
-50.0,1,39.156053
-44.0,2,41.063364
-32.0,1,41.063455
-50.0,1,43.201669
-44.0,2,45.655217
-50.0,1,46.803464
-47.0,2,46.803549
-44.0,2,50.685246
-35.0,2,50.68533
-50.0,1,52.711232
-44.0,2,54.731494
-44.0,2,57.220275
-47.0,2,60.400029
-50.0,2,63.55953
-50.0,2,66.035418
-47.0,2,68.276574
-41.0,2,70.502128
-38.0,1,70.502189
-50.0,1,73.349722
-47.0,2,76.46368
-50.0,2,79.505635
-47.0,2,83.566591
-50.0,2,87.481577
-47.0,2,91.319171
-47.0,2,94.501852
-47.0,2,97.90211
-35.0,1,100.106931
-47.0,2,100.10699
-50.0,1,102.709624
-47.0,2,104.967346
-44.0,2,106.740749
-32.0,1,106.740807
-50.0,1,109.469652
-47.0,2,111.777879
-50.0,1,112.981482
-44.0,2,112.981539
-50.0,2,119.955609
-47.0,2,119.955672
-47.0,2,127.815943
-47.0,2,127.816018
-50.0,2,133.743224
-44.0,2,133.743287
-29.0,1,137.845741
-47.0,2,139.307731
-50.0,1,139.307783
-50.0,1,142.784193
-50.0,2,144.066675
-50.0,1,144.066761
-47.0,2,149.237603
-47.0,2,149.237668
-32.0,1,152.997776
-50.0,1,154.177752
-50.0,2,154.177812
-38.0,2,159.074687
-50.0,2,159.074751
-50.0,1,161.525185
-47.0,2,162.673465
-50.0,1,162.673527
-50.0,1,163.800582
-50.0,1,163.800641
-32.0,1,166.601661
-44.0,2,167.708014
-50.0,1,167.708076
-50.0,1,168.835666
-50.0,1,168.835726
-35.0,1,171.804211
-44.0,2,172.821823
-50.0,1,172.821884
-50.0,1,175.339073
-50.0,1,176.437378
-47.0,2,176.437432
-32.0,1,178.219171
-50.0,1,178.219232
-50.0,1,180.607337
-47.0,2,183.701653
-50.0,2,185.350373
-32.0,1,185.350434
-50.0,1,186.443723
-50.0,1,186.443806
-35.0,2,190.55707
-47.0,2,190.557128
-32.0,1,193.180207
-38.0,2,194.350997
-50.0,1,194.351072
-47.0,2,198.712867
-44.0,2,198.712928
-50.0,2,203.774855
-41.0,2,203.774916
-47.0,2,207.905702
-41.0,2,207.90576
-32.0,1,212.000772
-50.0,1,214.005126
-50.0,2,214.005188
-44.0,2,218.265817
-41.0,2,218.265881
-50.0,1,221.195598
-50.0,2,222.422724
-50.0,1,222.422783
-38.0,1,226.749521
-47.0,2,231.380907
-50.0,1,233.105247
-50.0,2,233.105359
-50.0,1,237.392706
-47.0,2,239.827835
-35.0,1,239.827927
-35.0,1,242.793805
-50.0,1,242.793886
-50.0,1,245.878155
-47.0,2,247.978955
-44.0,2,250.862512
-50.0,1,252.0177
-47.0,2,252.017768
-50.0,1,255.138432
-50.0,2,257.79982
-47.0,2,259.678893
-35.0,2,262.048159
-47.0,2,265.399614
-50.0,1,266.543449
-44.0,2,266.543506
-35.0,2,270.142765
-41.0,2,270.142824
-50.0,1,272.710294
-47.0,2,275.145607
-50.0,1,276.282753
-47.0,2,276.282809
-50.0,2,282.804144
-47.0,2,282.804201
-50.0,1,284.580386
-32.0,1,284.580442
-50.0,1,286.300359
-35.0,2,288.630338
-47.0,2,290.225388
-8.0,2,293.068053
-35.0,1,293.068112
-50.0,1,294.174239
-50.0,1,294.174302
-47.0,2,298.58137
-44.0,2,298.581433
-50.0,1,299.71336
-50.0,1,299.713421
-32.0,1,302.482497
-50.0,1,303.560441
-44.0,2,303.5605
-50.0,1,304.703362
-50.0,1,304.703419
-32.0,1,308.187209
-50.0,2,309.341446
-50.0,1,309.341505
-50.0,1,311.813202
-47.0,2,313.602224
-38.0,2,316.152399
-50.0,1,317.361074
-47.0,2,317.361133
-50.0,2,323.361112
-50.0,2,323.36117
-50.0,1,325.813371
-47.0,2,327.795439
-32.0,1,327.795499
-50.0,1,330.646293
-47.0,2,333.79445
-38.0,1,336.263081
-50.0,2,336.263138
-50.0,1,338.117901
-32.0,1,338.117961
-50.0,1,340.222233
-44.0,2,342.311313
-44.0,2,344.743567
-47.0,2,347.045391
-50.0,1,348.265162
-44.0,2,348.265217
-50.0,1,351.437784
-29.0,1,351.437896
-50.0,1,353.771196
-50.0,1,353.771326
-50.0,1,356.020855
-50.0,1,356.020976
-29.0,1,359.320817
-32.0,1,359.320927
-50.0,1,361.313241
-50.0,1,361.313348
-41.0,2,364.997471
-38.0,2,364.997528
-50.0,1,367.536279
-47.0,2,370.836409
-50.0,2,372.210176
-50.0,1,372.21024
-41.0,2,377.035644
-47.0,2,377.035714
-44.0,2,381.489849
-47.0,2,381.489927
-41.0,2,385.729697
-47.0,2,385.729755
-32.0,1,388.411197
-50.0,1,389.489124
-41.0,2,389.489188
-32.0,1,392.562732
-50.0,1,393.71583
-47.0,2,393.715882
-38.0,1,395.797029
-50.0,1,395.797081
-50.0,1,398.877198
-50.0,1,400.066755
-50.0,2,400.066818
-29.0,1,401.830307
-50.0,1,401.830362
-50.0,1,403.695301
-38.0,2,406.301207
-47.0,2,408.484581
-38.0,1,408.484639
-50.0,1,409.682458
-50.0,1,409.682517
-32.0,1,412.231368
-38.0,2,413.363339
-50.0,1,413.363404
-29.0,1,416.150857
-44.0,2,417.185298
-50.0,1,417.185356
-50.0,2,422.106231
-35.0,2,422.106289
-50.0,1,423.31857
-50.0,1,423.31863
-50.0,1,425.181994
-38.0,2,427.158453
-50.0,1,428.703813
-41.0,2,428.703896
-32.0,1,432.259795
-47.0,2,433.459674
-50.0,1,433.459763
-50.0,1,440.292651
-47.0,2,444.8074
-35.0,1,444.807515
-47.0,2,457.135519
-44.0,2,457.135625
-50.0,1,462.762901
-44.0,2,469.104147
-47.0,2,475.116358
-50.0,1,477.891641
-44.0,2,477.891736
-50.0,1,483.808413
-47.0,2,488.409274
-50.0,1,491.476189
-44.0,2,491.476274
-32.0,1,498.497632
-44.0,2,504.467807
-50.0,1,507.168459
-44.0,2,507.168528
-50.0,1,510.028631
-50.0,1,510.028725
4.0,1,516.436579
-50.0,1,516.436724
-50.0,1,520.567952
-29.0,1,520.568178
-32.0,1,525.886899
-50.0,1,525.887009
-44.0,2,537.895597
-44.0,2,537.89568
-50.0,1,543.208389
-50.0,1,546.484967
-41.0,2,546.485111
-50.0,1,551.514868
-41.0,2,556.965249
-44.0,2,560.315816
-50.0,1,560.315879
-50.0,1,567.764694
-47.0,2,575.365522
-38.0,1,581.787292
-47.0,2,581.78738
-32.0,1,588.829735
-35.0,1,593.328475
-47.0,2,593.328624
-35.0,1,602.112174
-50.0,2,606.306336
-32.0,1,606.306401
-47.0,2,619.125616
-44.0,2,619.125704
-47.0,2,631.841379
-47.0,2,631.841436
-32.0,1,639.333845
-50.0,1,642.241569
-47.0,2,642.241695
-47.0,2,654.361143
-47.0,2,654.361249
-32.0,1,659.766686
-29.0,1,659.766786
-50.0,1,665.846773
-44.0,2,668.856374
-29.0,1,668.856479
-50.0,1,675.153694
-47.0,2,677.89168
-50.0,1,677.891737
-47.0,2,691.904403
-47.0,2,691.90451
-35.0,1,701.033675
-32.0,1,705.278372
-47.0,2,705.278481
-32.0,1,710.694622
-44.0,2,713.300993
-50.0,1,713.301075
-41.0,2,723.539621
-44.0,2,723.539707
-47.0,2,736.3492
-44.0,2,736.349326
-50.0,1,743.330346
-44.0,2,749.144769
-44.0,2,752.3273
-50.0,1,752.327432
-41.0,2,763.815827
-44.0,2,763.816103
-47.0,2,777.73842
-44.0,2,777.738511
-47.0,2,789.203189
-41.0,2,789.203291
-47.0,2,804.013235
-47.0,2,804.013503
-50.0,1,810.881204
-47.0,2,813.876601
-50.0,1,813.876693
-50.0,1,816.287645
-50.0,1,816.287741
-50.0,2,828.144305
-44.0,2,828.14438
-50.0,1,833.716062
-35.0,1,839.365911
-44.0,2,839.366013
-32.0,1,844.501229
-32.0,1,844.501327
-50.0,1,850.901077
-47.0,2,857.360631
-50.0,1,860.294047
-47.0,2,860.294109
-38.0,1,867.035385
-32.0,1,867.035532
-50.0,1,872.704987
-47.0,2,876.209396
-29.0,1,876.209462
-50.0,1,879.18502
-50.0,1,879.185187
-50.0,1,885.718198
-47.0,2,890.524631
-44.0,2,896.033444
-35.0,1,900.663512
-47.0,2,900.663613
-47.0,2,913.610043
-47.0,2,913.610139
-47.0,2,925.998081
-47.0,2,925.998245
-29.0,1,933.093853
-50.0,1,936.256557
-47.0,2,936.256757
-32.0,1,944.106361
-50.0,1,946.676014
-47.0,2,946.676085
-47.0,2,958.675095
-47.0,2,958.67518
-35.0,1,968.210816
-47.0,2,975.340364
-47.0,2,977.888599
-50.0,1,977.888666
-50.0,1,981.830896
-29.0,1,981.831035
-50.0,1,988.310632
-44.0,2,991.936563
-26.0,1,991.936664
-50.0,1,998.200251
-47.0,2,1001.835016
-32.0,1,1001.835246
-50.0,1,1010.931604
-47.0,2,1019.739287
-47.0,2,1026.254088
-47.0,2,1029.439183
-29.0,1,1029.439255
-35.0,1,1034.472697
-50.0,1,1034.472792
-5.0,1,1043.980337
-38.0,1,1043.980398
-50.0,1,1049.842297
-50.0,1,1053.32108
-47.0,2,1053.321211
-32.0,1,1060.486737
-47.0,2,1063.337886
-50.0,1,1063.337958
-32.0,1,1069.243742
-50.0,1,1071.745959
-44.0,2,1071.746022
-5.0,1,1078.582071
-50.0,1,1078.582175
-50.0,1,1084.500472
-47.0,2,1090.079397
-44.0,2,1093.267029
-50.0,1,1093.267157
-47.0,2,1105.630058
-47.0,2,1105.630192
-35.0,1,1111.781837
-50.0,1,1111.781926
-32.0,1,1119.017321
-44.0,2,1125.351305
-47.0,2,1129.893543
-32.0,1,1129.8936
-47.0,2,1141.525819
-44.0,2,1141.525884
-27.0,1,1148.343709
-50.0,1,1151.494758
