#{"t_start": 1748223802.3232331, "env_id": "None"}
r,l,t
-99.0,8,11.418777
-98.0,3,12.746828
-94.0,11,17.168852
-96.0,7,20.172013
-98.0,9,24.477525
-106.0,41,42.372525
-93.0,30,55.121263
-97.0,4,56.936353
-101.0,68,84.779749
-97.0,8,88.00302
-99.0,4,89.963955
-99.0,10,94.526584
-99.0,6,97.027104
-98.0,11,101.767234
-97.0,4,103.526596
-98.0,7,106.623542
-100.0,9,110.275419
-102.0,11,114.831577
-100.0,13,120.584751
-99.0,8,124.071949
-103.0,42,141.47569
-98.0,3,143.168494
-95.0,22,153.235749
-101.0,52,175.551594
-101.0,16,183.346179
-99.0,16,190.644932
-101.0,10,195.014023
